Capital;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Porto Velho;31,32;289,25;161,57;128,51;289,3;137,67;122,49;120,22;120,11;268,73
Rio Branco;-;571,41;711,09;297,3;307,04;1313,16;633,56;57,3;98,62;615,8
Manaus;408,59;444,5;1250,59;122,92;243,43;47,61;55,57;29,32;113,34;348,33
Boa Vista;1134,66;2005,8;1735,14;536,03;2042,28;223,3;802,71;241,54;205,78;1552,52
Belem;165,38;400,59;156,71;234,98;191,33;156,52;93,39;79,04;195,29;98,87
Macapa;1,17;-;1058,13;212,99;1193,06;622,1;524,75;276,09;666,29;132,03
Palmas;29,53;22,57;957,69;381,66;388,56;10,24;714,82;692,65;2264,08;1408,08
Sao Luis;46,32;23,22;39,81;36,07;53,82;13,87;248,97;121,7;339,27;111,57
Teresina;200,74;584,6;609,56;577,96;528,57;15,6;21,93;181,68;566,71;158,77
Fortaleza;318,24;342,91;621,17;223,44;549,59;22,59;497,78;644,83;493,67;1214,54
Natal;312,36;250,87;2639,92;1260,3;1438,38;106,51;187,78;526,78;799,96;1366,68
Joao Pessoa;-;-;71,78;144,9;31,49;37,88;81,11;82,13;505,21;73,3
Recife;324,51;148,15;208,74;2415,79;10,95;9,28;36,11;73,07;51,8;190,78
Maceio;7,89;14,29;39,64;526,37;357,52;276,24;157,51;218;523,75;656,28
Aracaju;340,03;418,39;341,66;405,91;264,71;32,32;53,35;69,66;56,65;1529,48
Salvador;0,09;0,57;70,6;1082,44;35,48;5,81;9,8;13,71;44,07;76,37
Belo Horizonte;0,19;9,56;209,66;185,86;69,04;17,95;5,52;29,54;207,52;513,55
Vitoria;20,69;264,11;627,68;1450,44;2033,82;105,33;87,77;236,84;71,07;425,4
Rio de Janeiro;22,63;34,53;472,86;2466,43;25,63;9,37;15,64;230,66;413,08;1716,09
Sao Paulo;1,22;1,61;7,11;27,66;15,68;1,01;2,59;17,25;39,15;6,74
Curitiba;0,38;0,69;1,73;9,49;1,38;0,41;0,51;0,67;4,34;2,3
Florianopolis;0,35;0,58;0,57;11,92;2,71;0,52;1,26;1,23;4,56;2,98
Porto Alegre;0,61;0,66;0,95;9,69;1,43;0,21;0,91;1,39;1,38;2,1
Campo Grande;467,21;229,65;1044,49;1303,3;162,33;3,41;11,87;396,57;5649,42;29,04
Cuiaba;0,66;0,83;24,95;400,37;553,57;4,19;3,93;95,6;164,9;93,62
Goiania;12,59;43,46;510,52;1361,76;529,71;293,27;754,53;953,69;505,55;1581,4
Brasilia;7,21;8,82;75,28;147,49;40,55;11,48;16,63;21,77;46,88;45,48
Total;79,05;101,11;304,85;684,83;171,51;46,19;91,47;147,31;308,66;495,4
